Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00773001


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
773001;1;01/04/2010;1;20,0;35,8;5;9;1;1;1;;0;0,0;0,0;1,0;0,9;20,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,9;0,0;1,0;0,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/03/2010;1;10,0;27,6;20;11;1;1;1;;0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,9;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;10,0;0,0;0,0;1,0;0,9;10,0;1,0;0,7;0,0;1,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/02/2010;1;20,0;89,3;2;14;1;1;1;;0;0,0;20,0;1,0;20,0;10,0;0,9;0,7;20,0;1,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;2,0;0,8;10,0;1,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
773001;1;01/01/2010;1;20,0;26,2;27;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,9;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;1,0;0,0;0,0;0,5;20,0;0,9;0,0;1,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/12/2009;1;20,8;111,0;7;15;1;1;1;;0;0,0;1,0;0,9;0,0;0,0;0,0;20,8;0,0;1,0;0,0;1,0;0,0;20,0;0,0;0,5;0,0;0,0;0,0;1,0;0,9;0,0;20,0;0,9;0,0;1,0;20,0;20,0;0,0;0,0;2,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/11/2009;1;10,9;28,3;30;11;1;1;1;;0;0,0;0,0;0,9;10,0;2,0;0,5;1,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,2;1,0;0,0;0,0;1,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;10,9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/10/2009;1;30,5;62,6;13;7;1;1;1;;0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;30,5;0,0;0,0;0,0;0,0;10,0;0,0;0,6;10,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/09/2009;1;30,6;36,8;16;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;30,6;0,0;0,5;0,0;0,0;0,8;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,9;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/08/2009;1;30,8;128,7;27;8;1;1;1;;0;0,0;0,0;30,5;0,0;0,0;10,8;0,0;0,0;0,0;24,0;0,0;0,0;0,0;0,0;30,4;0,0;0,0;0,0;0,0;0,0;1,0;0,3;0,9;0,0;0,0;0,0;30,8;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/07/2009;1;32,0;107,1;25;7;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,5;0,0;0,0;30,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,8;24,0;32,0;9,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
